name,state,tier_name,mr_kq5_pq1,mr_ktop1_pq1
Hastings College,NE,Selective private,0.010933083,0.0012637998
Haverford College,PA,Other elite schools (private and public),0.017978437,0.0011470667
Hawaii Pacific University,HI,Selective private,0.029230911,7.4821973e-4
Heidelberg University,OH,Selective private,0.0091001345,0
Henderson State University,AR,Selective public,0.024084078,0
Hendrix College,AR,Highly selective private,0.0062430608,0.0022840239
High Point University,NC,Selective private,0.01739048,7.1326303e-6
Hilbert College,NY,Selective private,0.027616285,0
Hiram College,OH,Selective private,0.01356729,0
Hobart And William Smith Colleges,NY,Selective private,0.021943677,0.0020807018
Hodges University,FL,Nonselective 4-year private,0.013447999,1.1536216e-4
Hofstra University,NY,Selective private,0.029875586,0.0018669732
Hollins University,VA,Selective private,0.010574323,2.7259139e-4
Holy Family University,PA,Selective private,0.01699614,5.7545309e-5
Hood College,MD,Selective private,0.027859967,0
Hope College,MI,Selective private,0.0053216363,4.8366954e-4
Houghton College,NY,Selective private,0.018982267,0.0011887472
Houston Baptist University,TX,Selective private,0.024330314,0.0011804866
Howard Payne University,TX,Selective private,0.021346293,3.1481191e-4
Howard University,DC,Selective private,0.040040046,9.3534752e-4
Humboldt State University,CA,Selective public,0.016260199,4.8747731e-4
Huntingdon College,AL,Selective private,0.018319014,0.0077868756
Huntington University,IN,Selective private,0.0055070887,2.5386873e-4
Husson University,ME,Selective private,0.019603565,1.9185463e-5
Idaho State University,ID,Selective public,0.011982939,0
Illinois College,IL,Selective private,0.014177011,0
Illinois Institute Of Technology,IL,Highly selective private,0.036340974,0.0027319
Illinois State University,IL,Selective public,0.010804862,4.0166409e-4
Illinois Wesleyan University,IL,Highly selective private,0.010769322,5.9966242e-4
Immaculata University,PA,Selective private,0.0080032125,0
Indian River State College,FL,Nonselective 4-year public,0.019091338,2.7008407e-4
Indiana Institute Of Technology,IN,Selective private,0.012844061,7.5702657e-5
Indiana State University,IN,Selective public,0.010691955,2.0295578e-5
Indiana University Of Pennsylvania,PA,Selective public,0.014237016,4.9029104e-4
Indiana University System,IN,Selective public,0.009217469,4.8961764e-4
Iona College,NY,Selective private,0.030527983,4.4376118e-4
Iowa State University Of Science & Technology,IA,Selective public,0.01310383,4.9112114e-4
Ithaca College,NY,Selective private,0.013821164,5.1076902e-4
Jackson State University,MS,Selective public,0.029727178,6.9369806e-4
Jacksonville State University,AL,Selective public,0.01316584,2.7332126e-4
Jacksonville University,FL,Selective private,0.012346011,4.2673113e-5
James Madison University,VA,Selective public,0.0074854619,1.1002711e-4
Jamestown College,ND,Selective private,0.024772471,0.0019299859
John Brown University,AR,Selective private,0.021008391,2.9777862e-5
John Carroll University,OH,Selective private,0.0097164838,4.6698994e-4
Johns Hopkins University,MD,Other elite schools (private and public),0.021514801,0.0053945119
Johnson & Wales University,RI,Selective private,0.018311018,1.4411316e-4
Johnson University,TN,Nonselective 4-year private,0.0039264327,1.8118815e-5
Judson University,IL,Selective private,0.012514249,0
Juniata College,PA,Selective private,0.021759938,0.0010890006
Kalamazoo College,MI,Highly selective private,0.010934224,9.6701074e-4
Kansas City Art Institute,MO,Nonselective 4-year private,1.1089424e-4,1.1089424e-4
Kansas State University,KS,Selective public,0.012689818,1.7547995e-4
Kansas Wesleyan University,KS,Selective private,0,0
Kean University,NJ,Selective public,0.034185618,3.3114108e-4
Keene State College,NH,Selective public,0.009485594,3.9398953e-4
Keiser University,FL,Nonselective 4-year private,0.017503604,7.8468365e-6
Kennesaw State University,GA,Selective public,0.011789772,4.1766476e-4
Kent State University,OH,Selective public,0.010914355,1.9125368e-4
Kentucky Christian University,KY,Selective private,0.0042522736,2.2432019e-4
Kentucky State University,KY,Selective public,0.019366039,1.0118069e-5
Kentucky Wesleyan College,KY,Selective private,0.014455378,0
Kenyon College,OH,Other elite schools (private and public),0.006436008,0.0016890481
Kettering University,MI,Highly selective private,0.031106485,0
Keuka College,NY,Selective private,0.022801867,0
Keystone College,PA,Selective private,0.010262592,0
King University,TN,Selective private,3.4503455e-4,2.1513628e-5
"King's College of Wilkes-Barre, PA",PA,Selective private,0.016503258,0.0016311306
Knox College,IL,Highly selective private,0.010817061,6.9381553e-4
Kutztown University Of Pennsylvania,PA,Selective public,0.0088745095,1.8483359e-5
La Roche College,PA,Selective private,0.022898763,0
La Salle University,PA,Selective private,0.018244173,8.7554272e-6
La Sierra University,CA,Selective private,0.032972757,0.0017199453
Lafayette College,PA,Other elite schools (private and public),0.016269231,0.001419495
Lagrange College,GA,Selective private,0.0032230143,0
Lake Erie College,OH,Selective private,7.4440107e-4,1.5178242e-5
Lake Forest College,IL,Selective private,0.017924456,1.7801653e-4
Lake Sumter State College,FL,Nonselective 4-year public,0.018196633,0
Lake Superior State University,MI,Selective public,0.013305768,3.9962128e-5
Lake Washington Institute Of Technology,WA,Nonselective 4-year public,0.01125679,0
Lakeland College,WI,Selective private,0.0055645178,0.0019117731
Lamar University,TX,Selective public,0.029002167,2.2702044e-4
Lancaster Bible College,PA,Nonselective 4-year private,0.0093620913,7.923675e-5
Lander University,SC,Selective public,0.0097744772,0
Landmark College,VT,Nonselective 4-year private,0,0
Langston University,OK,Selective public,0.01986186,3.9427345e-5
Lasell College,MA,Selective private,0.031484902,2.4624886e-5
Lawrence Technological University,MI,Selective private,0.024249569,0.0010946278
Lawrence University Of Wisconsin,WI,Highly selective private,0.011534142,5.0856801e-5
Le Moyne College,NY,Selective private,0.015694968,7.9809812e-5
Lebanon Valley College,PA,Selective private,0.012868647,9.5686887e-4
Lee University,TN,Selective private,0.01377523,0
Lees-Mcrae College,NC,Selective private,0.0031134812,1.0579233e-4
Lehigh University,PA,Other elite schools (private and public),0.018740082,9.5511891e-4
Lenoir-Rhyne University,NC,Selective private,0.012167468,0
Lesley University,MA,Selective private,0.01264025,1.0940382e-5
Letourneau University,TX,Selective private,0.038236253,0.0024965999
Lewis & Clark College,OR,Selective private,0.013648864,0.0016227686
Lewis University,IL,Selective private,0.016398102,1.7064222e-5
Lewis-Clark State College,ID,Selective public,0.021265127,3.624996e-5
Limestone College,SC,Selective private,0.0072934655,2.746403e-5
Lincoln Christian University,IL,Nonselective 4-year private,0.0029058941,0
Lincoln College,IL,Nonselective 4-year private,0.0071319486,1.733932e-4
Lincoln Memorial University,TN,Selective private,0.020953804,7.6622251e-5
"Lincoln University of Jefferson City, MO",MO,Nonselective 4-year public,0.016231382,0
"Lincoln University of Lincoln University, PA",PA,Selective public,0.033566434,0
Lindenwood University,MO,Selective private,0.0094058346,1.7255663e-5
Lindsey Wilson College,KY,Selective private,0.015122303,0.001251295
Linfield College,OR,Selective private,0.009520215,6.3419109e-5
Lipscomb University,TN,Selective private,0.006195535,6.7729387e-4
Lock Haven University Of Pennsylvania,PA,Selective public,0.010481519,6.7079632e-6
Long Island University System,NY,Selective private,0.055359606,0.0023812095
Longwood University,VA,Selective public,0.0065998333,8.2127005e-4
Loras College,IA,Selective private,0.00952625,9.9707185e-4
Louisiana College,LA,Selective private,0.019554704,5.8038393e-5
Louisiana State University In Shreveport,LA,Selective public,0.019494791,0.001877796
Louisiana State University System,LA,Selective public,0.02137957,0.0014574247
Louisiana Tech University,LA,Selective public,0.022207914,9.081536e-4
Lourdes University,OH,Selective private,0.001718455,0
Loyola Marymount University,CA,Selective private,0.024588708,0.0016685484
Loyola University Chicago,IL,Highly selective private,0.030813236,0.0018193674
Loyola University Maryland,MD,Highly selective private,0.0067202942,8.5558172e-4
Loyola University New Orleans,LA,Highly selective private,0.015620732,0.0015042003
Lubbock Christian University,TX,Selective private,0.015160448,3.336609e-5
Luther College,IA,Selective private,0.0098190969,0
Lycoming College,PA,Selective private,0.0045768674,0
Lynn University,FL,Selective private,0.01754616,0.0012776159
MCP Hahnemann And Drexel Universities,PA,Selective private,0.033046082,0.0010594841
MCPHS University,MA,Nonselective 4-year private,0.093435071,0.0096385116
MacMurray College,IL,Selective private,0.023021029,0.0020482736
Macalester College,MN,Other elite schools (private and public),0.0139422,1.2773109e-4
Madison Area Technical College,WI,Nonselective 4-year public,0.0076195607,1.3695756e-5
Madonna University,MI,Selective private,0.016361732,5.9531321e-6
Maine Maritime Academy,ME,Selective public,0.034627073,0.0069370558
Malone University,OH,Selective private,0.010476858,9.7482634e-4
Manchester University,IN,Selective private,0.0044042668,0
Manhattanville College,NY,Selective private,0.0348414,0.0012057176
Mansfield University Of Pennsylvania,PA,Selective public,0.010778463,5.2264595e-4
Maranatha Baptist University,WI,Nonselective 4-year private,0.0090863556,9.5572723e-5
"Marian University of Fond Du Lac, WI",WI,Selective private,0.0067669936,7.1405222e-5
Marietta College,OH,Selective private,0.016607501,8.2171191e-6
Marist College,NY,Selective private,0.017162638,0.0018030145
Marquette University,WI,Highly selective private,0.011462465,8.4768678e-4
Mars Hill University,NC,Selective private,0.013681385,4.2104708e-5
Marshall University,WV,Selective public,0.016595608,3.3210564e-4
Martin Methodist College,TN,Nonselective 4-year private,0.036278673,1.0258463e-4
Mary Baldwin College,VA,Selective private,0.011975961,0
Maryland Institute College Of Art,MD,Nonselective 4-year private,0.015447689,6.4701715e-5
Marymount California University,CA,Nonselective 4-year private,0.018336337,0.0024247994
Marymount Manhattan College,NY,Selective private,0.032945585,9.7015925e-4
Marymount University,VA,Selective private,0.034363579,0
Maryville College,TN,Selective private,0.012819733,4.8330472e-5
Maryville University Of Saint Louis,MO,Selective private,0.012820481,2.7100507e-6
Marywood University,PA,Selective private,0.0083087683,5.8862788e-5
Massachusetts College Of Art And Design,MA,Nonselective 4-year public,0.013365985,0
Massachusetts College Of Liberal Arts,MA,Selective public,0.013480057,3.9658309e-5
Massachusetts Institute Of Technology,MA,Ivy Plus,0.033982009,0.0068486053
Massachusetts Maritime Academy,MA,Selective public,0.019935429,0.0032809617
Master's College & Seminary,CA,Selective private,0.010637505,1.5026671e-5
Mayville State University,ND,Selective public,0.012299011,4.8939837e-6
McDaniel College,MD,Selective private,0.015907239,0.0018206226
McKendree University,IL,Selective private,0.004864566,0
McMurry University,TX,Selective private,0.028226078,0
McPherson College,KS,Selective private,0.034085538,0
Mcneese State University,LA,Selective public,0.025569314,9.8661077e-4
Medaille College,NY,Selective private,0.021728449,0
Mercer University,GA,Selective private,0.021415448,0.0011548791
Mercy College,NY,Selective private,0.035249505,4.437286e-5
Mercyhurst University,PA,Selective private,0.0083564883,1.3835642e-5
Meredith College,NC,Selective private,0.012782317,8.5010525e-4
Merrimack College,MA,Selective private,0.0077797174,0
Messiah College,PA,Selective private,0.011928859,7.8543334e-4
Methodist University,NC,Selective private,0.031531721,7.7137607e-5
Metropolitan State University Of Denver,CO,Selective public,0.0099023478,5.1885086e-6
Miami Dade Community College System,FL,Nonselective 4-year public,0.046087939,5.4787472e-4
Miami University,OH,Selective public,0.0077545019,2.3074354e-4
Michigan State University,MI,Selective public,0.013878376,8.371743e-4
Michigan Technological University,MI,Selective public,0.017467972,3.469435e-4
Midamerica Nazarene University,KS,Selective private,0.0075826203,0
Middle Georgia State College,GA,Nonselective 4-year public,0.018238416,0
Middle Tennessee State University,TN,Selective public,0.011028236,2.2427327e-4
Middlebury College,VT,Other elite schools (private and public),0.012677005,0.0017261272
Midland College,TX,Nonselective 4-year public,0.048402563,8.852256e-4
Midland University,NE,Selective private,0.0083030993,7.1651768e-5
Midwestern State University,TX,Selective public,0.020030687,0.002012003
Millersville University Of Pennsylvania,PA,Selective public,0.0089512076,8.660295e-6
Milligan College,TN,Selective private,0.0095936423,0
Millikin University,IL,Selective private,0.011048079,4.6196255e-5
Mills College,CA,Selective private,0.032862529,0.0059159733
Millsaps College,MS,Selective private,0.017996125,0.0010815749
Milwaukee Institute Of Art & Design,WI,Nonselective 4-year private,0.015486031,0
Milwaukee School Of Engineering,WI,Highly selective private,0.018848887,8.9678098e-4
Minneapolis College Of Art & Design,MN,Nonselective 4-year private,0.013146075,0
"Minnesota State University System, Century And Various Other Minnesota Community Colleges",MN,Selective public,0.011335982,1.1098021e-4
Minot State University,ND,Selective public,0.020477919,5.9638097e-4
Misericordia  University,PA,Selective private,0.020134674,1.010142e-5
Mississippi College,MS,Selective private,0.011761039,4.9519927e-5
Mississippi State University,MS,Selective public,0.017684894,6.87038e-4
Mississippi University For Women,MS,Selective public,0.026654826,0.0015001518
Mississippi Valley State University,MS,Selective public,0.03947296,3.7467365e-5
Missouri Baptist University,MO,Selective private,0.0017413279,0
Missouri Southern State University,MO,Selective public,0.017238347,7.3050929e-4
Missouri State University,MO,Selective public,0.011580038,3.8836448e-4
Missouri Valley College,MO,Selective private,0.012052591,7.7615347e-5
Missouri Western State University,MO,Selective public,0.015143937,3.207562e-4
Mitchell College,CT,Selective private,0.0091045229,0
Monmouth College,IL,Selective private,0.01511289,0
Monmouth University,NJ,Selective private,0.020736568,0
Montana State University - Billings,MT,Selective public,0.015617129,3.784422e-4
Montana State University - Northern,MT,Selective public,0.036096528,0
Montana State University Bozeman,MT,Selective public,0.014773595,1.8750636e-4
Montana Tech Of The University Of Montana,MT,Selective public,0.033390671,0.003969186
Montclair State University,NJ,Selective public,0.031705961,7.0308102e-4
Moody Bible Institute,IL,Nonselective 4-year private,0.01601701,1.2598635e-5
Moravian College,PA,Selective private,0.013847758,0
Morehead State University,KY,Selective public,0.017078405,5.5471672e-5
Morehouse College,GA,Selective private,0.03098028,6.395403e-5
Morningside College,IA,Selective private,0.018422524,1.0368355e-4
Mount Aloysius College,PA,Selective private,0.012886406,7.2619587e-5
Mount Holyoke College,MA,Highly selective private,0.025985811,0.0025918151
Mount Ida College,MA,Selective private,0.013384931,0
Mount Marty College,SD,Selective private,0.015407146,0.0037362357
Mount Mary University,WI,Selective private,0.011010212,1.1519789e-4
Mount Mercy University,IA,Selective private,0.015141819,1.2034187e-4
Mount Saint Mary College,NY,Selective private,0.03293195,3.3690132e-5
Mount Saint Mary's University,MD,Selective private,0.0097342851,0
Mount St. Mary's College,CA,Selective private,0.063886866,0.0015052154
Mount Vernon Nazarene University,OH,Selective private,0.0080199577,2.7300344e-5
Muhlenberg College,PA,Highly selective private,0.010286807,0.0020260571
Multnomah University,OR,Nonselective 4-year private,0.014522634,0
Murray State University,KY,Selective public,0.014342665,0
Muskingum University,OH,Selective private,0.0093349544,4.3569249e-5
Nazareth College Of Rochester,NY,Selective private,0.0067328531,9.1790287e-5
Nebraska Wesleyan University,NE,Selective private,0.006083061,6.225612e-5
Neumann University,PA,Selective private,0.013220158,2.3360411e-5
Nevada State College,NV,Nonselective 4-year public,4.5245135e-4,0
New England College,NH,Selective private,0.008709291,0
New England Institute Of Technology,RI,Nonselective 4-year private,0.019461485,4.4438304e-4
New Jersey City University,NJ,Selective public,0.053184673,0
New Jersey Institute Of Technology,NJ,Selective public,0.064678028,0.0010885715
New Mexico Highlands University,NM,Selective public,0.03087878,8.4321982e-5
New Mexico Institute Of Mining & Technology,NM,Highly selective public,0.039902415,0.0030106313
New Mexico State University,NM,Selective public,0.031813055,8.1590377e-4
"New School, The",NY,Nonselective 4-year private,0.029008023,0.0011655396
New York City College Of Technology Of The City University Of New,NY,Selective public,0.083340757,7.0140383e-4
New York Institute Of Technology,NY,Selective private,0.054028045,1.5123493e-5
New York University,NY,Other elite schools (private and public),0.036272708,0.0051718312
Newberry College,SC,Selective private,0.00889559,0
Newman University,KS,Selective private,0.0034396648,6.9454771e-5
Niagara University,NY,Selective private,0.0149982,0.0013482206
Nicholls State University,LA,Selective public,0.028574781,0.0012937767
Nichols College,MA,Selective private,0.023336964,8.3297818e-5
Norfolk State University,VA,Selective public,0.034440201,0
North Carolina Agricultural & Technical State University,NC,Selective public,0.027148971,0
North Carolina Central University,NC,Selective public,0.028412145,5.3285819e-4
North Carolina State University,NC,Selective public,0.013513586,6.0019048e-4
North Carolina Wesleyan College,NC,Selective private,0.01446971,0
North Central College,IL,Selective private,0.01095138,1.1639297e-5
North Central University,MN,Selective private,0.0083867377,7.7104953e-5
North Dakota State University - Main Campus - Fargo,ND,Selective public,0.016936833,7.9503073e-4
North Greenville University,SC,Nonselective 4-year private,0.011263216,9.6206626e-5
North Park University,IL,Selective private,0.017052133,0
North Seattle College,WA,Nonselective 4-year public,0.021387789,5.5913843e-5
Northeastern Illinois University,IL,Selective public,0.031765535,3.5833358e-4
Northeastern State University,OK,Selective public,0.02204542,7.8721892e-4
Northeastern University,MA,Highly selective private,0.024375604,8.9390454e-4
Northern Illinois University,IL,Selective public,0.016347265,3.2888772e-4
Northern Kentucky University,KY,Selective public,0.0093852589,2.1264497e-4
Northern Michigan University,MI,Selective public,0.013368618,9.7450566e-6
Northland College,WI,Selective private,0.0056189671,0
Northwest Florida State College,FL,Nonselective 4-year public,0.014743016,2.665401e-4
Northwest Missouri State University,MO,Selective public,0.0095001664,7.996026e-4
Northwest Nazarene University,ID,Selective private,0.013963337,3.0228884e-5
Northwest University,WA,Selective private,0.01429916,9.4687181e-5
"Northwestern College of Orange City, IA",IA,Selective private,0.011893411,2.0857298e-4
Northwestern Michigan College,MI,Nonselective 4-year public,0.010663517,0
Northwestern Oklahoma State University,OK,Selective public,0.018086972,0
Northwestern State University,LA,Selective public,0.02783468,0.0017251825
Northwestern University,IL,Other elite schools (private and public),0.016942441,0.002434755
Northwood University,MI,Selective private,0.023574322,0.0029508318
Norwich University,VT,Selective private,0.027689336,0
Notre Dame Of Maryland University,MD,Selective private,0.022400821,0
Nova Southeastern University,FL,Selective private,0.032588042,0
Nyack College,NY,Selective private,0.037367687,0
Oakland City University,IN,Selective private,0.0033326682,6.4481996e-5
Oakland University,MI,Selective public,0.011023696,0
Oberlin College,OH,Other elite schools (private and public),0.012481108,9.4602274e-4
Occidental College,CA,Other elite schools (private and public),0.033389218,0.0017558632
Oglethorpe University,GA,Selective private,0.023360895,8.2332765e-5
Ohio Dominican University,OH,Selective private,0.011736508,2.9817185e-5
Ohio Northern University,OH,Selective private,0.015782932,0.0017072674
Ohio University,OH,Selective public,0.0077718832,1.2512918e-4
Ohio Wesleyan University,OH,Selective private,0.017458169,9.0873661e-4
Oklahoma Baptist University,OK,Selective private,0.0067705675,0.001072619
Oklahoma Christian University,OK,Selective private,0.012590239,0
Oklahoma City University,OK,Selective private,0.014778396,0.0017118154
Oklahoma Panhandle State University,OK,Selective public,0.025308723,4.0589021e-5
Oklahoma State University,OK,Selective public,0.020010026,0.0011070054
Oklahoma State University - Oklahoma City,OK,Nonselective 4-year public,0.016382834,0
Oklahoma State University Institute Of Technology - Okmulgee,OK,Nonselective 4-year public,0.026352976,5.7611789e-4
Old Dominion University,VA,Selective public,0.023708621,1.9887734e-4
Olivet College,MI,Selective private,0.012264696,0
Olivet Nazarene University,IL,Selective private,0.012181556,1.5567575e-5
Olympic College,WA,Nonselective 4-year public,0.0091182217,0
Oral Roberts University,OK,Selective private,0.01434755,0
Oregon Institute Of Technology,OR,Selective public,0.035221688,0.001072816
Oregon State University,OR,Selective public,0.016455978,7.9914305e-4
Otis College Of Art & Design,CA,Nonselective 4-year private,0.042668778,5.3112406e-5
Ottawa University,AZ,Nonselective 4-year private,0.0075951894,2.9569637e-4
Otterbein University,OH,Selective private,0.012216149,0
Ouachita Baptist University,AR,Selective private,0.023570523,1.3547484e-4
Our Lady Of Holy Cross College,LA,Selective private,0.018520266,1.9828662e-4
Our Lady Of The Lake College,LA,Nonselective 4-year private,0.0089230789,1.41842e-6
Our Lady Of The Lake University,TX,Selective private,0.036030967,7.7741213e-5
Ozark Christian College,MO,Nonselective 4-year private,0.01219454,0
Pace University,NY,Selective private,0.084326468,0.0041901637
Pacific Lutheran University,WA,Selective private,0.0094195455,6.5412431e-4
Pacific Union College,CA,Selective private,0.027723918,0.0063170469
Pacific University,OR,Selective private,0.01356675,0
Paine College,GA,Selective private,0.020358527,7.4311902e-6
Palm Beach Atlantic University,FL,Selective private,0.015135125,8.34518e-5
Palm Beach State College,FL,Nonselective 4-year public,0.019405609,3.1704045e-4
Park University,MO,Selective private,0.038710412,2.4137785e-6
Paul Smith's College Of Arts & Sciences,NY,Nonselective 4-year private,0.020132689,0
Peninsula College,WA,Nonselective 4-year public,0.020161942,1.3580384e-4
Pennsylvania College Of Technology,PA,Selective public,0.016200243,0
Pennsylvania State University,PA,Selective public,0.017627658,7.071303e-4
Pensacola State College,FL,Nonselective 4-year public,0.013259612,4.0105305e-4
Pepperdine University,CA,Highly selective private,0.018597502,0.0029772737
Peru State College,NE,Selective public,0.012720671,0
Pfeiffer University,NC,Selective private,0.015698779,1.3240069e-4
Philadelphia University,PA,Selective private,0.020442298,0.0013361502
Philander Smith College,AR,Selective private,0.0099397274,0
Piedmont College,GA,Selective private,0.0070336601,1.1755888e-5
Pittsburg State University,KS,Selective public,0.015296591,3.7613176e-4
Pitzer College,CA,Highly selective private,0.022146214,0.0017053715
Plymouth State University Of The University System Of New Hampshire,NH,Selective public,0.010567838,1.1180568e-5
Point Loma Nazarene University,CA,Selective private,0.014089341,0.0013588076
Point Park University,PA,Selective private,0.015400576,0
Polk State College,FL,Nonselective 4-year public,0.020786051,2.7587853e-4
Pomona College,CA,Other elite schools (private and public),0.019502569,6.2907249e-4
Portland State University,OR,Selective public,0.020111205,0.0014336329
Prairie View Agricultural & Mechanical University,TX,Selective public,0.034532607,5.6741555e-4
Pratt Institute,NY,Nonselective 4-year private,0.026439195,0.0014136172
Presbyterian College,SC,Selective private,0.011835594,0.0013418283
Princeton University,NJ,Ivy Plus,0.013457949,0.0029252854
Providence College,RI,Highly selective private,0.0093238577,0.0010404207
Purdue University,IN,Selective public,0.010032993,1.937934e-4
Queens University Of Charlotte,NC,Selective private,0.026364388,6.6991965e-6
Quincy University,IL,Selective private,0.010007878,0
Quinnipiac University,CT,Highly selective private,0.0090074828,1.040901e-4
Radford University,VA,Selective public,0.0096741868,4.1191309e-4
Ramapo College Of New Jersey,NJ,Highly selective public,0.025084743,0
Randolph - Macon College,VA,Selective private,0.0064757913,9.6411051e-5
Randolph College,VA,Selective private,0.0099733053,0.0030082325
Ranken Technical College,MO,Nonselective 4-year private,0.009561928,9.1002163e-5
Reed College,OR,Other elite schools (private and public),0.011408932,0
Regis College,MA,Selective private,0.023588927,0
Regis University,CO,Selective private,0.015786842,1.1164982e-5
Reinhardt University,GA,Selective private,0.012624418,2.5581865e-5
Rensselaer Polytechnic Institute,NY,Other elite schools (private and public),0.030490816,0.0033770595
Rhode Island College,RI,Selective public,0.014993242,2.9964928e-4
Rhode Island School Of Design,RI,Nonselective 4-year private,0.013392131,9.8513695e-4
Rhodes College,TN,Highly selective private,0.012574136,0.0048445496
Rice University,TX,Other elite schools (private and public),0.01603426,0.0026360333
Richard Stockton College Of New Jersey,NJ,Selective public,0.018967113,0
Rider University,NJ,Selective private,0.021870352,0.0017473081
Ringling College Of Art & Design,FL,Nonselective 4-year private,0.010817676,1.0257918e-4
Ripon College,WI,Selective private,0.015475043,2.5125389e-4
Roanoke College,VA,Selective private,0.010248341,0
Robert Morris University,PA,Selective private,0.025243485,7.0292008e-5
Robert Morris University Illinois,IL,Nonselective 4-year private,0.027835844,0
Roberts Wesleyan College,NY,Selective private,0.0084154233,3.2228141e-5
Rochester Institute Of Technology,NY,Selective private,0.03271028,0.0011170633
Rockford University,IL,Selective private,0.016759682,0
Rockhurst University,MO,Selective private,0.016252588,4.588089e-5
Rocky Mountain College,MT,Selective private,0.035964228,1.0851319e-4
Roger Williams University,RI,Selective private,0.01064077,9.3727873e-4
Rogers State University,OK,Nonselective 4-year public,0.01504637,0
Rollins College,FL,Highly selective private,0.0128005,7.8474492e-4
Roosevelt University,IL,Selective private,0.031764559,0
Rose - Hulman Institute Of Technology,IN,Other elite schools (private and public),0.022180673,0.0017583617
Rowan University,NJ,Selective public,0.018180341,0
Rust College,MS,Selective private,0.023471,7.4280222e-5
"Rutgers, The State University Of New Jersey",NJ,Highly selective public,0.037468784,0.0020126493
SUNY At Fredonia,NY,Selective public,0.01159788,2.5492236e-6
SUNY College At Brockport,NY,Selective public,0.016267536,1.5107606e-5
SUNY College At Buffalo,NY,Selective public,0.018443212,0
SUNY College At Cortland,NY,Selective public,0.017234307,3.3970614e-4
SUNY College At Geneseo,NY,Highly selective public,0.017466716,9.2969462e-4
SUNY College At Old Westbury,NY,Selective public,0.050406143,0
SUNY College At Oneonta,NY,Selective public,0.018011078,3.2439502e-4
SUNY College At Oswego,NY,Selective public,0.017234406,3.1540616e-4
SUNY College At Purchase,NY,Selective public,0.018390216,6.4686732e-4
SUNY College Of Agriculture & Technology At Cobleskill,NY,Selective public,0.013682729,3.114836e-5
SUNY College Of Agriculture & Technology At Morrisville,NY,Nonselective 4-year public,0.026970929,0
SUNY College Of Technology At Alfred,NY,Selective public,0.020553736,4.9500668e-4
SUNY College Of Technology At Canton,NY,Nonselective 4-year public,0.025015842,9.0843341e-6
SUNY College Of Technology At Delhi,NY,Nonselective 4-year public,0.017053617,0
SUNY Empire State College,NY,Nonselective 4-year public,0.0360354,2.0589216e-5
SUNY Maritime College,NY,Selective public,0.022504309,0.0057912329
SUNY Upstate Medical University And SUNY College Of Environment Science And Forestry,NY,Selective public,0.018566083,6.4398232e-6
Sacred Heart University,CT,Selective private,0.019537028,0.0025196956
Sage Colleges,NY,Selective private,0.020342322,7.1375929e-5
Saginaw Valley State University,MI,Selective public,0.012916086,1.4923024e-5
Saint Ambrose University,IA,Selective private,0.0077696261,9.2850736e-5
Saint Anselm College,NH,Selective private,0.009693183,8.0432808e-5
Saint Augustine College,IL,Nonselective 4-year private,0.011151641,7.1825911e-5
Saint Augustine's University,NC,Selective private,0.017899884,0
Saint Francis College,NY,Selective private,0.06619294,8.5798767e-4
Saint Francis University,PA,Selective private,0.022233896,0
Saint John Fisher College,NY,Selective private,0.019023929,0
"Saint John's University of Collegeville, MN",MN,Selective private,0.010258666,3.4103694e-5
"Saint John's University of Queens, NY",NY,Selective private,0.067959361,0.0038071077
Saint Johns River State College,FL,Nonselective 4-year public,0.015150721,0
"Saint Joseph's College of Brooklyn, NY",NY,Selective private,0.024691625,8.1820349e-4
"Saint Joseph's College of Rensselaer, IN",IN,Selective private,0.0064639198,7.9902391e-5
"Saint Joseph's College of Standish, ME",ME,Selective private,0.0076229805,0
Saint Joseph's University,PA,Selective private,0.011201222,7.5234222e-4
Saint Leo University,FL,Selective private,0.036343481,0.0014770044
Saint Louis College Of Pharmacy,MO,Nonselective 4-year private,0.029930376,0.0047068931
Saint Louis University,MO,Selective private,0.01333356,0.0012807398
Saint Martin's University,WA,Selective private,0.030191984,0
Saint Mary's College,IN,Selective private,0.00621336,7.1229726e-5
Saint Mary's College Of California,CA,Selective private,0.029426431,9.9159521e-4
Saint Mary's University,TX,Selective private,0.051140383,0.0022527266
Saint Mary's University Of Minnesota,MN,Selective private,0.0076889568,4.8084148e-5
Saint Michael's College,VT,Selective private,0.0082741333,5.632817e-4
Saint Norbert College,WI,Selective private,0.0053353836,0
Saint Olaf College,MN,Highly selective private,0.0077091283,4.5388826e-4
Saint Peter's University,NJ,Selective private,0.054974649,0.0014468661
Saint Thomas University,FL,Selective private,0.045534585,2.0157971e-5
Saint Vincent College & Seminary,PA,Selective private,0.013035415,1.7566138e-4
Saint Xavier University,IL,Selective private,0.027966641,8.2933175e-4
Salem College,NC,Selective private,0.0084808581,1.2345807e-5
Salem State University,MA,Selective public,0.01932558,1.7333126e-6
Salve Regina University,RI,Selective private,0.01680178,5.6557026e-5
Sam Houston State University,TX,Selective public,0.020554697,3.5893061e-4
Samford University,AL,Selective private,0.0071679298,0
San Diego State University,CA,Selective public,0.036618356,0.0016755871
San Francisco State University,CA,Selective public,0.034955118,0.0014409326
San Jose State University,CA,Selective public,0.054279134,0.0021413737
Santa Clara University,CA,Highly selective private,0.022468021,0.0019997966
Santa Fe College,FL,Nonselective 4-year public,0.018114127,2.9729423e-4
